"word","definition"
"hearing","The act or power of perceiving sound; perception of sound; the faculty or sense by which sound is perceived; as, my hearing is good."""
"youngthly","Pertaining to, or resembling, youth; youthful."""
"gymnopaedic","Having young that are naked when hatched; psilopaedic; -- said of certain birds."
"else","Besides; except that mentioned; in addition; as, nowhere else; no one else."""
"return","The turnings and windings of a trench or mine."
"french","Of or pertaining to France or its inhabitants."
"conjoin","To unite; to join; to league."
"turbant","A turban."
"guelph","Alt. of Guelf"
"cylindraceous","Cylindrical, or approaching a cylindrical form."""
"voluminous","Having written much, or produced many volumes; copious; diffuse; as, a voluminous writer."""
"hulky","Bulky; unwiedly."
"maestro","A master in any art, especially in music; a composer."""
"polyonomy","The use of a variety of names for the same object."
"blush","To become suffused with red in the cheeks, as from a sense of shame, modesty, or confusion; to become red from such cause, as the cheeks or face."""
"fraternizing","of Fraternize"
"metabole","A change or mutation; a change of disease, symptoms, or treatment."""
"picket","A military punishment, formerly resorted to, in which the offender was forced to stand with one foot on a pointed stake."""
"pley","Full See Plein."
"itinerate","To wander without a settled habitation; to travel from place or on a circuit, particularly for the purpose of preaching, lecturing, etc."""
"avise","To advise; to counsel."
"distaste","To deprive of taste or relish; to make unsavory or distasteful."
"availableness","Quality of being available; capability of being used for the purpose intended."
"smart","Brisk; fresh; as, a smart breeze."""
"notarial","Of or pertaining to a notary; done or taken by a notary; as, a notarial seal; notarial evidence or attestation."""
"link","The length of one joint of Gunter's chain, being the hundredth part of it, or 7.92 inches, the chain being 66 feet in length. Cf. Chain, n., 4."""
"sac","The privilege formerly enjoyed by the lord of a manor, of holding courts, trying causes, and imposing fines."""
"entire","Not gelded; -- said of a horse."
"adjutator","A corruption of Agitator."
"crimson","A deep red color tinged with blue; also, red color in general."""
"toe","One of the terminal members, or digits, of the foot of a man or an animal."""
"fere","Fear."
"avenage","A quantity of oats paid by a tenant to a landlord in lieu of rent."
"glowed","of Glow"
"tremulous","Affected with fear or timidity; trembling."
"spirituality","An ecclesiastical body; the whole body of the clergy, as distinct from, or opposed to, the temporality."""
"pentadelphous","Having the stamens arranged in five clusters, those of each cluster having their filaments more or less united, as the flowers of the linden."""
"pourlieu","See Purlieu."
"softened","of Soften"
"maki","A lemur. See Lemur."
"cranny","A small, narrow opening, fissure, crevice, or chink, as in a wall, or other substance."""
"deficiencies","of Deficiency"
"hypocaust","A furnace, esp. one connected with a series of small chambers and flues of tiles or other masonry through which the heat of a fire was distributed to rooms above. This contrivance, first used in bath, was afterwards adopted in private houses."""
"transmissive","Capable of being transmitted; derived, or handed down, from one to another."""
"lastly","at last; finally."
"bracelet","An ornamental band or ring, for the wrist or the arm; in modern times, an ornament encircling the wrist, worn by women or girls."""
"horn","An incurved, tapering and pointed appendage found in the flowers of the milkweed (Asclepias)."""
"evaporation","The transformation of a portion of a fluid into vapor, in order to obtain the fixed matter contained in it in a state of greater consistence."""
"annexed","of Annex"
"feeding","the act of eating, or of supplying with food; the process of fattening."""
"slabber","A saw for cutting slabs from logs."
"octagonal","Having eight sides and eight angles."
"malady","A moral or mental defect or disorder."
"tritheist","One who believes in tritheism."
"baccate","Pulpy throughout, like a berry; -- said of fruits."""
"ringtoss","A game in which the object is to toss a ring so that it will catch upon an upright stick."
"buckle","A device, usually of metal, consisting of a frame with one more movable tongues or catches, used for fastening things together, as parts of dress or harness, by means of a strap passing through the frame and pierced by the tongue."""
"namby-pamby","Talk or writing which is weakly sentimental or affectedly pretty."
"wreck","The ruins of a ship stranded; a ship dashed against rocks or land, and broken, or otherwise rendered useless, by violence and fracture; as, they burned the wreck."""
"peise","A weight; a poise."
"scapeless","Destitute of a scape."
"cornuted","Cuckolded."
"emanate","To issue forth from a source; to flow out from more or less constantly; as, fragrance emanates from flowers."""
"midwifery","The art or practice of assisting women in childbirth; obstetrics."
"containment","That which is contained; the extent; the substance."
"imaginant","Imagining; conceiving."
"proprietary","A proprietor or owner; one who has exclusive title to a thing; one who possesses, or holds the title to, a thing in his own right."""
"solarize","To injure by too long exposure to the light of the sun in the camera; to burn."
"slur","To sing or perform in a smooth, gliding style; to connect smoothly in performing, as several notes or tones."""
"canker","An obstinate and often incurable disease of a horse's foot, characterized by separation of the horny portion and the development of fungoid growths; -- usually resulting from neglected thrush."""
"gre","See Gree, a step."""
"pomegranate","The fruit of the tree Punica Granatum; also, the tree itself (see Balaustine), which is native in the Orient, but is successfully cultivated in many warm countries, and as a house plant in colder climates. The fruit is as large as an orange, and has a hard rind containing many rather large seeds, each one separately covered with crimson, acid pulp."""
"conventional","Formed by agreement or compact; stipulated."
"buck","To wash (clothes) in lye or suds, or, in later usage, by beating them on stones in running water."""
"diverticulum","A blind tube branching out of a longer one."
"sport","To assume suddenly a new and different character from the rest of the plant or from the type of the species; -- said of a bud, shoot, plant, or animal. See Sport, n., 6."""
"lurching","of Lurch"
"perjurer","One who is guilty of perjury; one who perjures or forswears, in any sense."""
"jerkin","A male gyrfalcon."
"set","Hence, to attach or affix (something) to something else, or in or upon a certain place."""
"encyclical","Sent to many persons or places; intended for many, or for a whole order of men; general; circular; as, an encyclical letter of a council, of a bishop, or the pope."""
"rumney","A sort of Spanish wine."
"inconvincibly","In a manner not admitting of being convinced."
"wardrobe","Wearing apparel, in general; articles of dress or personal decoration."""
"deprehend","To detect; to discover; to find out."
"sorcerous","Of or pertaining to sorcery."
"tautologous","Repeating the same thing in different words; tautological."
"manteltree","The lintel of a fireplace when of wood, as frequently in early houses."""
"bowless","Destitute of a bow."
"herd","A number of beasts assembled together; as, a herd of horses, oxen, cattle, camels, elephants, deer, or swine; a particular stock or family of cattle."""
"outraze","To obliterate."
"pentoxide","An oxide containing five atoms of oxygen in each molecule; as, phosphorus pentoxide, P2O5."""
"goffering","of Goffer"
"secundine","The afterbirth, or placenta and membranes; -- generally used in the plural."""
"penetrability","The quality of being penetrable; susceptibility of being penetrated, entered, or pierced."""
"ozonoscope","An apparatus employed to indicate the presence, or the amount, of ozone."""
